"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001926628,"Primor Rotondas, OT, 30225, P ROSARIO, C.C. Las Rotondas Pb-lc 18-19-20-21 C/ jose Fco Pi Arsuaga, 12, 86a7f6a6a3",zcrm_707987000000599508,"Primor Rotondas"
zcrm_707987000001926629,"Primor Rotondas, OT, 30225, P ROSARIO, C.C. Las Rotondas Pb-lc 18-19-20-21 C/ jose Fco Pi Arsuaga, 12, 4b193daf68",zcrm_707987000000599508,"Primor Rotondas"
zcrm_707987000001926630,"Edelweiss I, OT, 30225, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, d99a85c59d",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926631,"Edelweiss I, OT, 30225, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, e5ce3427bc",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926632,"Edelweiss I, OT, 30225, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 72fef57994",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926633,"Edelweiss I, OT, 30225, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 773cff80e3",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926634,"Primor Alisios, OT, 30225, 7 PALMAS, C.C. Los Alisios. C/ Hermanos Domínguez Santana.15. 308 S/N, 35018. Las Palmas de Gran Canaria, ac5a24100b",zcrm_707987000000599466,"Primor Alisios"
zcrm_707987000001926635,"Primor (Puerto de La Cruz), OT, 30225, PUERTO DE LA CRUZ, Avda. de Colón, 14, 67083cce47",zcrm_707987000000599487,"Primor (Puerto de La Cruz)"
zcrm_707987000001926636,"Primor Open Mall, OT, 30225, ARRECIFE, CC Open Mall, localB02 C/. León y Castillo, 156, 4826957c31",zcrm_707987000000599555,"Primor Open Mall"
zcrm_707987000001926637,"Primor Open Mall, OT, 30225, ARRECIFE, CC Open Mall, localB02 C/. León y Castillo, 156, 123575ca64",zcrm_707987000000599555,"Primor Open Mall"
zcrm_707987000001926638,"Primor Alisios, OT, 30225, 7 PALMAS, C.C. Los Alisios. C/ Hermanos Domínguez Santana.15. 308 S/N, 35018. Las Palmas de Gran Canaria, 91712d0423",zcrm_707987000000599466,"Primor Alisios"
zcrm_707987000001926639,"Primor Open Mall, OT, 30225, ARRECIFE, CC Open Mall, localB02 C/. León y Castillo, 156, 5e723a1bad",zcrm_707987000000599555,"Primor Open Mall"
zcrm_707987000001926640,"Primor Open Mall, OT, 30225, ARRECIFE, CC Open Mall, localB02 C/. León y Castillo, 156, 181b2ef5f9",zcrm_707987000000599555,"Primor Open Mall"
zcrm_707987000001926641,"Primor (Puerto de La Cruz), OT, 30225, PUERTO DE LA CRUZ, Avda. de Colón, 14, 393b4013cd",zcrm_707987000000599487,"Primor (Puerto de La Cruz)"
zcrm_707987000001926642,"Primor (Puerto de La Cruz), OT, 30225, PUERTO DE LA CRUZ, Avda. de Colón, 14, 445447a56b",zcrm_707987000000599487,"Primor (Puerto de La Cruz)"
zcrm_707987000001926643,"Palace Parfums Troya, OT, 30225, LAS AMERICAS, C/Francisco Andrade Fumero, 6c0210e639",zcrm_707987000000599448,"Palace Parfums Troya"
zcrm_707987000001926644,"Palace Parfums Troya, OT, 30225, LAS AMERICAS, C/Francisco Andrade Fumero, 3d9e2eec26",zcrm_707987000000599448,"Palace Parfums Troya"
zcrm_707987000001926645,"Palace Parfums Santiago III, OT, 30225, ADEJE, C.C. Parque Santiago III. Avda. Las Américas, 38650. Arona, Santa Cruz de Tenerife. Local 41., 6641ac2895",zcrm_707987000000596814,"Palace Parfums Santiago III"
zcrm_707987000001926646,"Fund Grube - Mirador, OT, 30225, TELDE, C.C. El Mirador. Av. Santa Rita de Casia, 35220 Las Palmas de Gran Canaria, Las Palmas., aa8ce3f495",zcrm_707987000000597363,"Fund Grube - Mirador"
zcrm_707987000001926648,"Cala I, OT, 30227, PUERTO DEL ROSARIO, C/León y Castillo, nº 39, 860c869553",zcrm_707987000000584785,"Cala I"
zcrm_707987000001926649,"Corte Ingles M&L 18, OT, 30228, M&L, Av. José Mesa y López, 18, 35007 Las Palmas de Gran Canaria, Las Palmas, 12bae96f99",zcrm_707987000000584801,"Corte Ingles M&L 18"
zcrm_707987000001926650,"Edelweiss I, OT, 30229, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 77b98f2816",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926651,"Edelweiss I, OT, 30229, CORRALEJO, Avda. Nuestra Sra. del Carmen, 54, 43909d3cc1",zcrm_707987000000584827,"Edelweiss I"
zcrm_707987000001926652,"Fund Grube Varadero, OT, 30229, VARADERO, P.º de las Meloneras, 35100 Maspalomas, Las Palmas, 576daee9ef",zcrm_707987000000584851,"Fund Grube Varadero"
zcrm_707987000001926653,"Fund Grube Boulevard, OT, 30229, VARADERO, C. Mar Mediterráneo, 35100 Meloneras, Las Palmas. CC Boulevard Faro, 5faedc94eb",zcrm_707987000000584852,"Fund Grube Boulevard"
zcrm_707987000001926654,"Dalia 10, OT, 30229, PUERTO DEL CARMEN, Av. de las Playas, 53, 35510 Puerto del Carmen, Las Palmas, 71e57b6e8e",zcrm_707987000000584856,"Dalia 10"
zcrm_707987000001926655,"Glamour (Pirámides), OT, 30229, PUERTO DE LA CRUZ, Av. Aguilar y Quesada, 1A, 38400 Puerto de la Cruz, Sta. C. de Tenerife, CC Las Piramides de Mart, be8c5299f4",zcrm_707987000000584857,"Glamour (Pirámides)"
zcrm_707987000001926656,"Dalia 4 (JAZMÍN), OT, 30229, COSTA TEGUISE, Avenida El Jablillo, s/n Centro Comercial Olita local 14-17, 35508 Costa Teguise, Las Palmas, 644b291af6",zcrm_707987000000584863,"Dalia 4 (JAZMÍN)"
zcrm_707987000001926657,"Sam Pto. del Carmen, OT, 30229, PUERTO DEL CARMEN, Av. de las Playas, 8, 35510 Tías, Las Palmas, 5f0d03c22a",zcrm_707987000000584937,"Sam Pto. del Carmen"
zcrm_707987000001926658,"GRUPO LIS -LIS VI, OT, 30229, S EUGENIO, CC San Eugenio, local nº45-46 (Playa de las Améric, 88a200a6dc",zcrm_707987000000584967,"GRUPO LIS -LIS VI"
zcrm_707987000001926659,"Dalia 5, OT, 30229, ARRECIFE, C. León y Castillo, 24, 35500 Arrecife, Las Palmas, 2aa7f8e7f1",zcrm_707987000000596310,"Dalia 5"
zcrm_707987000001926660,"Sasha, OT, 30229, PLAYA BLANCA, C. Limones, 58, 35580, Playa Blanca, Las Palmas. Local 1 y 2, d8821b07df",zcrm_707987000000596321,Sasha
